Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All)
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-07-29,232741,395922,   12893,    7593,12.0,20.4
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-07-22,219848,388329,  -11201,  -10498,11.5,20.3
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-07-15,231049,398827,    -812,   26948,11.9,20.6
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-07-08,231861,371879,  -11602,   41607,12.2,19.6
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-07-01,243463,330272,   32015,  -25951,12.9,17.5
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-06-24,211448,356223,   -8618,  -37990,11.2,18.9
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-06-17,220066,394213,    3103,   49582,9.0,16.1
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-06-10,216963,344631,  -36235,   22018,9.8,15.5
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-06-03,253198,322613,   -6394,   10051,11.9,15.2
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-05-27,259592,312562,   13004,  -30595,12.3,14.8
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-05-20,246588,343157,    3297,  -22328,11.7,16.2
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-05-13,243291,365485,   -8060,   37729,11.4,17.2
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-05-06,251351,327756,   11255,    8994,11.8,15.4
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-04-29,240096,318762,  -20834,  -18103,11.3,14.9
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-04-22,260930,336865,    6724,   19562,11.8,15.2
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-04-15,254206,317303,  -67245,  -32835,11.7,14.5
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-04-08,321451,350138,   21085,   30750,13.8,15.0
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-04-01,300366,319388,   36612,    2272,14.2,15.1
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-03-25,263754,317116,  -79198,   42475,12.7,15.3
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-03-18,342952,274641,  -35973,  -23671,13.4,10.7
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-03-11,378925,298312,   12415,  -36095,16.6,13.1
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-03-04,366510,334407,   65561,     679,16.8,15.3
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-02-25,300949,333728,  -12156,  -19343,14.1,15.7
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-02-18,313105,353071,  -20556,    2301,14.8,16.6
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-02-11,333661,350770,   26920,   39212,15.9,16.7
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-02-04,306741,311558,   54146,    2809,14.8,15.0
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-01-28,252595,308749,  -11220,  -30781,12.4,15.2
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-01-21,263815,339530,    7457,   52630,13.0,16.7
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-01-14,256358,286900,   -8309,  -39970,12.5,14.0
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2025-01-07,264667,326870,    4924,   10325,12.8,15.8
